TAG,DUPLICATION TEXT,NUMBER OF DUPLICATION,URL
META DESCRIPTION,"On March 28, 2017, the California Office of Environmental Health Hazard Assessment (OEHHA) issued notice to confirm that Glyphosate will be listed under Proposition 65 as known to the State to cause cancer.",2,"#
http://www.asiainspection.com/regulatory-updates/April-2017/apr2017-california-oehha-glyphosate-listed-prop65
https://www.asiainspection.com/regulatory-updates/April-2017/apr2017-california-oehha-glyphosate-listed-prop65"
META DESCRIPTION,"On March 30, 2016, European Commission (EC) approved Regulation (EU) 2016/460 to amend annex IV and V of Regulation (EC) No. 850/2004 Persistent Organic Pollutants (POPs). The amendment will become effective on September 30, 2016. Read more here.",2,"#
http://www.asiainspection.com/regulatory-updates/April-2016/eu-amend-pop
https://www.asiainspection.com/regulatory-updates/April-2016/eu-amend-pop"
META DESCRIPTION,"On March 30, 2017, the US Consumer Product Safety Commission (CPSC) issued Final Rule 16 CFR 1234 in the Federal Register 82 FR 15615 regarding safety standard adoption for infant bath tubs.",2,"#
https://www.asiainspection.com/regulatory-updates/April-2017/apr2017-cpsc-infant-tubs
http://www.asiainspection.com/regulatory-updates/April-2017/apr2017-cpsc-infant-tubs"
META DESCRIPTION,"On March 31, 2017, the US Consumer Product Safety Commission (CPSC) issued an Enforcement Discretion Letter in relation to the recently adopted ASTM F963-16 standard. The letter exempts projectiles with energies less than or equal to 0.08 J from the 2500 J/m2 Kinetic Energy Density (KED) testing requirements.",2,"#
https://www.asiainspection.com/regulatory-updates/May-2017/may2017-cpsc-enforcement-letter-projectile-toys
http://www.asiainspection.com/regulatory-updates/May-2017/may2017-cpsc-enforcement-letter-projectile-toys"
META DESCRIPTION,"On March 4, 2017, the Maine Department of Environmental Protection (DEP) adopted rule Chapter 889 Designation of Two Flame Retardants as Priority Chemicals. The rule designates two chemicals of high concern as priority chemicals. The two chemicals are Decabromodiphenyl Ether (Deca BDE) and Hexabromocylododecane (HBCD) (See Previous Story in Regulatory Recap: November 2016).",2,"#
https://www.asiainspection.com/regulatory-updates/April-2017/apr2017-maine-adopts-new-priority-chemicals
http://www.asiainspection.com/regulatory-updates/April-2017/apr2017-maine-adopts-new-priority-chemicals"
META DESCRIPTION,"On March 7, 2016, the President of the National Institute of Metrology, Quality and Technology (INMETRO) approved Administrative Rule No. 99 to restrict toys including ""AquaDots"" and ""Bindeez"" that containing 1, 4-butanediol. Learn more here.",2,"#
https://www.asiainspection.com/regulatory-updates/April-2016/brazil-toy-restrictions
http://www.asiainspection.com/regulatory-updates/April-2016/brazil-toy-restrictions"
META DESCRIPTION,"On March 7, 2017, the US Consumer Product Safety Commission (CPSC) issued a final rule in Federal Register, 82 FR 12716. The final rule removes the Code of Federal Regulations, 16 CFR 1240 Safety Standard for Magnet Sets.",2,"#
https://www.asiainspection.com/regulatory-updates/March-2017/mar2017-cpsc-final-rule-magnet
http://www.asiainspection.com/regulatory-updates/March-2017/mar2017-cpsc-final-rule-magnet"
META DESCRIPTION,"On March 8, 2016, Bill HF 2761 and Bill HF 2717, concerning priority chemicals reporting rules and their prohibition, were introduced in the Minnesota House of Representatives to amend Minnesota Statutes. Learn more here.",2,"#
https://www.asiainspection.com/regulatory-updates/May-2016/minnesota-priority-chemicals
http://www.asiainspection.com/regulatory-updates/May-2016/minnesota-priority-chemicals"
META DESCRIPTION,"On March 9, 2016, European Commission (EC) approved the Regulation (EU) 2016/425 Personal Protective Equipment. This new regulation will repeal the Council Directive 89/686/EEC on April 21, 2018 and enter into force on the same date. See more here.",2,"#
http://www.asiainspection.com/regulatory-updates/April-2016/ec-approves-ppe
https://www.asiainspection.com/regulatory-updates/April-2016/ec-approves-ppe"
META DESCRIPTION,"On March 9, 2017, the European Chemicals Agency (ECHA) proposed 2 chemicals to be added to the Substances of Very High Concern (SVHCs) Candidate List under Regulation (EC) No. 1907/2006 (REACH).",2,"#
http://www.asiainspection.com/regulatory-updates/April-2017/apr2017-echa-public-consultation-svhcs
https://www.asiainspection.com/regulatory-updates/April-2017/apr2017-echa-public-consultation-svhcs"
META DESCRIPTION,"On May 11, 2016, the Australian Competition and Consumer Commission (ACCC) published a notice to extend the interim ban on the supply of unsafe self-balancing scooters by 30 days. Learn more here.",2,"#
http://www.asiainspection.com/regulatory-updates/June-2016/australia-interim-ban
https://www.asiainspection.com/regulatory-updates/June-2016/australia-interim-ban"
META DESCRIPTION,"On May 18, 2016, The Office of Environmental Health Hazard Assessment (OEHHA) published a new proposed version of its regulations governing Proposition 65 Warnings. Get the details here. ",2,"#
http://www.asiainspection.com/regulatory-updates/June-2016/california-proposition-warning
https://www.asiainspection.com/regulatory-updates/June-2016/california-proposition-warning"
META DESCRIPTION,"On May 2, 2016, the New York Assembly Introduced Bill A9959 and its Senate version bill is S7230. The bill proposed warning requirements on certain lithium batteries and products containing such batteries. Learn more here.",2,"#
http://www.asiainspection.com/regulatory-updates/June-2016/new-york-lithium-batteries
https://www.asiainspection.com/regulatory-updates/June-2016/new-york-lithium-batteries"
META DESCRIPTION,"On May 20, 2016, the California Office of Environmental Health Hazard Assessment (OEHHA) added 3 pesticides to the Proposition 65 List. They are tetrachlorvinphos, parathion and malathion. Learn more here.",2,"#
https://www.asiainspection.com/regulatory-updates/June-2016/california-oehha-proposition-65
http://www.asiainspection.com/regulatory-updates/June-2016/california-oehha-proposition-65"
META DESCRIPTION,"On May 27, 2016, the Food and Drug Administration (FDA) finalized the new Nutrition Facts label for packaged foods to help consumers make better food choices. The final rule impacts food manufacturers, requiring changes to the Nutrition Facts Label as regulated under 21 CFR 101.",2,"#
http://www.asiainspection.com/regulatory-updates/June-2016/fda-nutrition-and-supplement-labels
https://www.asiainspection.com/regulatory-updates/June-2016/fda-nutrition-and-supplement-labels"
META DESCRIPTION,"On October 23, 2015, the National Health and Family Planning Commission of the People's Republic of China (NHFPC) issued Notice 07/2015 to announce eight new national food safety standards. These standards entered into force on March 21, 2016.",2,"#
https://www.asiainspection.com/regulatory-updates/May-2016/china-national-standard-for-foods
http://www.asiainspection.com/regulatory-updates/May-2016/china-national-standard-for-foods"
META DESCRIPTION,"On October 23, 2015, the National Health and Family Planning Commission of the People's Republic of China (NHFPC) issued Notice 08/2015 to announce national food safety standards publication and updates. These standards will be effective on September 22, 2016.",2,"#
http://www.asiainspection.com/regulatory-updates/May-2016/china-nhfpc-materials-and-nipples
https://www.asiainspection.com/regulatory-updates/May-2016/china-nhfpc-materials-and-nipples"
META DESCRIPTION,"On October 27, 2015, China proposed a draft GB National Standard: Sunglasses and Sunglare Filters – Part 1: General Requirements. The technical requirements in the standard are modified from ISO 12312-1: 2013, Eye and Face Protection – Sunglasses and Related Eyewear – Part 1: Sunglasses for General Use.",2,"#
http://www.asiainspection.com/regulatory-updates/April-2016/china-sunglass-filters
https://www.asiainspection.com/regulatory-updates/April-2016/china-sunglass-filters"
META DESCRIPTION,Our REACH compliance testing ensures your products are REACH compliant and our online platform makes it easy to book lab tests and get results. Learn more about our services here.,2,"#
http://www.asiainspection.com/reach-testing
https://www.asiainspection.com/reach-testing"
META DESCRIPTION,Our RoHS compliance testing ensures your products are RoHS compliant and our online platform makes it easy to book lab tests and get results. Learn more about our services here.,2,"#
http://www.asiainspection.com/rohs-testing
https://www.asiainspection.com/rohs-testing"
META DESCRIPTION,Our detailed reports empower you to make informed decisions that help you secure your supply chain. Review sample reports from inspections and audits here.,2,"#
http://www.asiainspection.com/samplereports
https://www.asiainspection.com/samplereports"
META DESCRIPTION,Our pre production inspection or initial production check (IPC) ensures your product will be consistent throughout production. Learn more about our pre production services here.,2,"#
http://www.asiainspection.com/initial-production-check
https://www.asiainspection.com/initial-production-check"
META DESCRIPTION,"Previously on November 3, 2016, a 60-Day Notice was filed to address the violation of California Proposition 65. The violation involves exposure to Bisphenol A (BPA), which is listed as a chemical to cause female reproductive toxicity, in wine glasses made of polycarbonate. As a result, a settlement agreement regarding the violation was signed by both parties on February 9, 2017.",2,"#
http://www.asiainspection.com/regulatory-updates/March-2017/mar2017-california-prop65-bpa-settlement
https://www.asiainspection.com/regulatory-updates/March-2017/mar2017-california-prop65-bpa-settlement"
META DESCRIPTION,Production monitoring gives you the peace of mind that your product is being manufactured properly. View this sample report to see how your manufacturing process can benefit from reliable QC.,2,"#
http://www.asiainspection.com/samplereport/production-monitoring-report
https://www.asiainspection.com/samplereport/production-monitoring-report"
META DESCRIPTION,Providing inspection and audit reference samples is free and allows our teams to see exactly what your product should look like and how it should perform. Find out where to send your reference samples and get more details here.,2,"#
https://www.asiainspection.com/reference-samples
http://www.asiainspection.com/reference-samples"
META DESCRIPTION,"Register with AI to easily schedule product inspections, lab testing, and audits. Manage your product and supplier compliance all from your online account.",2,"#
https://www.asiainspection.com/register
http://www.asiainspection.com/register"
META DESCRIPTION,Secure your supply chain with independent auditors from AsiaInspection. Learn about our supplier audit program and find out how we can help with supplier compliance.,2,"#
http://www.asiainspection.com/quality-control-services/supplier-audit-programs
https://www.asiainspection.com/quality-control-services/supplier-audit-programs"
META DESCRIPTION,"Starting May 11, 2016, a warning is required for products, such as those containing polycarbonate plastics and epoxy resins, that contain BPA exceeding the Maximum Allowable Dose Level (MADL), which is 3 micrograms/day. Learn more here.",2,"#
https://www.asiainspection.com/regulatory-updates/June-2016/california-bpa-warning
http://www.asiainspection.com/regulatory-updates/June-2016/california-bpa-warning"
META DESCRIPTION,Structural audits conducted this year show that the safety of supplier factories is still a serious concern. Get the facts and find out how to mitigate risk in this AI Whitepaper.,2,"#
https://www.asiainspection.com/whitepaper/structural-safety
http://www.asiainspection.com/whitepaper/structural-safety"
META DESCRIPTION,"The 2014 Q1 Manufacturing and Audit Industry News release from AsiaInspection reviews China’s exports, sourcing growth in Africa, and more. Read the full release here.",2,"#
https://www.asiainspection.com/asia-inspection-news/2014-q1-barometer-china-exports-all-time-high
http://www.asiainspection.com/asia-inspection-news/2014-q1-barometer-china-exports-all-time-high"
META DESCRIPTION,"The 2014 Q2 Manufacturing and Audit Industry News release from AsiaInspection reviews industrial disputes in China, azo dye screening, and more. Read the full release here.",2,"#
https://www.asiainspection.com/asia-inspection-news/2014-q2-barometer-riots-strikes-and-toxic-products
http://www.asiainspection.com/asia-inspection-news/2014-q2-barometer-riots-strikes-and-toxic-products"
META DESCRIPTION,"The 2014 Q4 Manufacturing and Audit Industry News release from AsiaInspection reviews China food safety scandals, unsafe working conditions and more. Read the full report here.",2,"#
http://www.asiainspection.com/asia-inspection-news/2014-q4-barometer-china-food-fears
https://www.asiainspection.com/asia-inspection-news/2014-q4-barometer-china-food-fears"
META DESCRIPTION,The 2015 Q1 Manufacturing and Audit Industry News release from AsiaInspection reviews last year’s prevalence of child labor and worker safety issues. View the full news release here.,2,"#
https://www.asiainspection.com/asia-inspection-news/2015-q1-barometer-cheap-labor-quality-trends
http://www.asiainspection.com/asia-inspection-news/2015-q1-barometer-cheap-labor-quality-trends"
META DESCRIPTION,"The 2015 Q2 Manufacturing and Audit Industry News release from AsiaInspection reviews the sustainable and ethical supply chain focus from the G7 Summit, food scandals, and more. Read the full synopsis here.",2,"#
https://www.asiainspection.com/asia-inspection-news/2015-q2-barometer-68-million-children
http://www.asiainspection.com/asia-inspection-news/2015-q2-barometer-68-million-children"
META DESCRIPTION,"The 2015 Q3 Manufacturing and Audit Industry News release from AsiaInspection reviews Southeast Asia economic growth trends, food violations, and more. Read more about supply chain industry news here.",2,"#
http://www.asiainspection.com/asia-inspection-news/2015-q3-southeast-asia-growth-staggering
https://www.asiainspection.com/asia-inspection-news/2015-q3-southeast-asia-growth-staggering"
META DESCRIPTION,"The 2015 Q4 Manufacturing and Audit Industry News release from AsiaInspection reviews CSR issues in Bangladesh, China’s new food safety law, and more. Catch up on the latest industry trends here.",2,"#
https://www.asiainspection.com/asia-inspection-news/2015-q4-ethical-compliance-harder-to-hide
http://www.asiainspection.com/asia-inspection-news/2015-q4-ethical-compliance-harder-to-hide"
META DESCRIPTION,The 2016 Q1 Manufacturing and Audit Industry News release from AsiaInspection reveals product safety issues in China and growing ethical concerns abroad. Find out more about the latest trends here.,2,"#
https://www.asiainspection.com/asia-inspection-news/2016-q1-exploding-hoverboards-and-growing-ethical-concerns
http://www.asiainspection.com/asia-inspection-news/2016-q1-exploding-hoverboards-and-growing-ethical-concerns"
META DESCRIPTION,The 2016 Q2 Manufacturing and Audit Industry News release from AsiaInspection reveals supply chains plagued by forced labor and structural risks. Find out more about the latest industry trends here.,2,"#
https://www.asiainspection.com/asia-inspection-news/2016-q2-structural-risks-plague-global-supply-chains
http://www.asiainspection.com/asia-inspection-news/2016-q2-structural-risks-plague-global-supply-chains"
META DESCRIPTION,The 2016 Q3 Manufacturing and Audit Industry News release from AsiaInspection reveals supply chains struggle with responsible sourcing Find out more about the latest industry trends here.,2,"#
https://www.asiainspection.com/asia-inspection-news/2016-q3-Apparel-Supply-Chains-Struggle-with-Responsible-Sourcing
http://www.asiainspection.com/asia-inspection-news/2016-q3-Apparel-Supply-Chains-Struggle-with-Responsible-Sourcing"
META DESCRIPTION,The 2016 Q4 Manufacturing and Audit Industry News release from AsiaInspection reveals supply chains struggle with responsible sourcing Find out more about the latest industry trends here.,2,"#
http://www.asiainspection.com/asia-inspection-news/2016-q4-china-growth-stabilizing-factory-fires-plague-supply-chains
https://www.asiainspection.com/asia-inspection-news/2016-q4-china-growth-stabilizing-factory-fires-plague-supply-chains"
META DESCRIPTION,The 2017 Q1 Manufacturing and Audit Industry news release from AsiaInspection reviews 2016 trends in quality and compliance. Read our global supply chain insights here.,2,"#
https://www.asiainspection.com/asia-inspection-news/2017-q1-worrying-trends-for-global-supply-chains
http://www.asiainspection.com/asia-inspection-news/2017-q1-worrying-trends-for-global-supply-chains"
META DESCRIPTION,The 2017 Q2 Manufacturing and Audit Industry news release from AsiaInspection reviews quality issues and ethical challenges in supply chains this year. Read the latest industry news here.,2,"#
http://www.asiainspection.com/asia-inspection-news/2017-q2-product-quality-issues-and-ethical-challenges
https://www.asiainspection.com/asia-inspection-news/2017-q2-product-quality-issues-and-ethical-challenges"
META DESCRIPTION,"The AI Q3 industry report provides you with the latest trends. This report covers global sourcing trends: China keeps up growth pace, regional competition not far behind.",2,"#
http://www.asiainspection.com/asia-inspection-news/2017-q3-supply-chains-struggle
https://www.asiainspection.com/asia-inspection-news/2017-q3-supply-chains-struggle"
META DESCRIPTION,"The European Committee for Standardization (CEN) published updated standards, EN 71-12: 2016 Safety of Toys - Part 12: N-Nitrosamines and N-nitrosatable Substances in December 2016 and EN 12868:2017 Child Use and Care Articles - Method for Determining the Release of N-Nitrosamines and N-Nitrosatable Substances from Elastomer or Rubber Teats and Soothers in January 2017.",2,"#
https://www.asiainspection.com/regulatory-updates/March-2017/mar2017-cen-updated-standard-nitrosamines
http://www.asiainspection.com/regulatory-updates/March-2017/mar2017-cen-updated-standard-nitrosamines"
META DESCRIPTION,"The US State New York Proposed Bill A5612A passed assembly and now moves to Senate as Bill S7507, concerning reporting and prohibition of children's products containing priority chemicals. Get the details here.",2,"#
http://www.asiainspection.com/regulatory-updates/June-2016/new-york-childrens-products
https://www.asiainspection.com/regulatory-updates/June-2016/new-york-childrens-products"
META DESCRIPTION,"The reform bill H.R. 2576 TSCA Modernization Act of 2015, amending the Toxic Substances Control Act of 1976 (TSCA), was passed in the House of Representatives on May 24, 2016 and subsequently passed by unanimous decision in the U.S. Senate on June 7, 2016.",2,"#
http://www.asiainspection.com/regulatory-updates/June-2016/us-house-of-representatives
https://www.asiainspection.com/regulatory-updates/June-2016/us-house-of-representatives"
META DESCRIPTION,This AI resource provides you with a best practice approach for preventing product loss in garments and apparel. Learn how to avoid bug infestations in this whitepaper.,2,"#
https://www.asiainspection.com/whitepaper/bug-infestations
http://www.asiainspection.com/whitepaper/bug-infestations"
META DESCRIPTION,This AI resource provides you with a best practice approach for preventing product loss in garments and apparel. Learn how to avoid mold in your garments in this whitepaper.,2,"#
http://www.asiainspection.com/whitepaper/preventing-mold
https://www.asiainspection.com/whitepaper/preventing-mold"
META DESCRIPTION,"This AI whitepaper covers how to prevent foodborne viruses. Learn about types and sources of foodborne viruses, and how to prevent them in your food supply chain.",2,"#
http://www.asiainspection.com/whitepaper/foodborne-viruses
https://www.asiainspection.com/whitepaper/foodborne-viruses"
META DESCRIPTION,This AI whitepaper covers omnichannel retail and the quality risks that go with it. Learn how quality control at the source can help prevent costly product returns.,2,"#
http://www.asiainspection.com/whitepaper/omnichannel-retail-risk
https://www.asiainspection.com/whitepaper/omnichannel-retail-risk"
META DESCRIPTION,This AI whitepaper provides insights into ethical audits. Read this paper to learn about the processes and criteria involved in a successful ethical audit program.,2,"#
http://www.asiainspection.com/whitepaper/ethical-audits
https://www.asiainspection.com/whitepaper/ethical-audits"
META DESCRIPTION,This presentation covers the,2,"#
https://www.asiainspection.com/aiecc-2017
http://www.asiainspection.com/aiecc-2017"
META DESCRIPTION,"This presentation covers the safety and compliance of eyewear and PPE, with a focus on EU regulations, including REACH, CE marking, and more. Watch the full video here.",2,"#
https://www.asiainspection.com/eu-reach-compliance-eyewear-ppe
http://www.asiainspection.com/eu-reach-compliance-eyewear-ppe"
META DESCRIPTION,Through our laboratory testing we address product safety compliance needs for clients in 120 countries. Take a 360° digital tour of our labs here.,2,"#
http://www.asiainspection.com/our-labs
https://www.asiainspection.com/our-labs"
META DESCRIPTION,We use the internationally recognized AQL (Acceptable Quality Limit) sampling table for product inspections. View the AQL table here and learn more about our sampling methodology.,2,"#
https://www.asiainspection.com/aql-acceptable-quality-limit
http://www.asiainspection.com/aql-acceptable-quality-limit"
META DESCRIPTION,We've compiled the latest ASTM standards updates for our clients into one quick reference table. View the latest updates list and summary here. ,2,"#
http://www.asiainspection.com/regulatory-updates/June-2016/updates-astm-standards
https://www.asiainspection.com/regulatory-updates/June-2016/updates-astm-standards"
META DESCRIPTION,We've helped a diverse set of clients secure their supply chains and ensure social responsibility. See what our customers are saying about AsiaInspection services.,2,"#
http://www.asiainspection.com/asiainspection-testimonials
https://www.asiainspection.com/asiainspection-testimonials"
META DESCRIPTION,"n response to accidents caused by clothing cords and drawstrings among children, the Japanese Industrial Standards Committee (JISC) drafted a voluntary safety standard for such components in children's clothing. Learn more here.",2,"#
http://www.asiainspection.com/regulatory-updates/March-2016/japan-drawstrings
https://www.asiainspection.com/regulatory-updates/March-2016/japan-drawstrings"
